gamma,learning_rate,n_steps,ent_coef,reward
0.9759002389313702,0.00048709512738389987,128,0.04280959314142563,2.8470168113708496
0.9008620936561451,2.6707924203260617e-05,512,0.07100624396047915,2.1992225646972656
0.9828446491341466,1.197928390835712e-05,512,0.07735691790342508,2.8388781547546387
0.9255463734896581,2.3832403787282766e-05,128,0.001297834581189028,2.5354113578796387
0.9985981452919863,6.770323451854789e-05,128,0.05314436029919725,2.900787115097046
0.9219437864618167,0.0002587585486208037,128,0.058354700868597745,2.879415273666382
0.9211241198867894,2.8595645389065147e-05,512,0.09742773592697589,2.873546838760376
0.9298184713947817,1.6233151831783944e-05,256,0.012900386250185848,2.5786139965057373
0.9057825104471453,0.0002977639542666437,128,0.08005552660967323,2.7436535358428955
0.9166146931134435,0.00041128374621010486,256,0.03664798662845425,2.8712246417999268
0.9608557430559781,8.257701140929727e-05,128,0.026495801864205876,2.9027364253997803
0.9977237897313349,9.311965675689288e-05,128,0.02536742701189452,2.8891894817352295
0.9512841632429372,7.778165226426042e-05,128,0.02681215189625113,2.903519868850708
0.9511016880280764,0.0001612504968303132,128,0.02674155908853209,2.8703818321228027
0.9513990804018222,5.064144916783186e-05,128,0.020923601782618546,2.900676965713501
0.9634785371332518,0.00014233973911515215,256,0.003057833288570559,2.8631327152252197
0.9377034455083748,0.000981353431688475,128,0.03959964077347984,2.755971908569336
0.9640412915929211,4.841386235363547e-05,128,0.014493685095457152,2.899017572402954
0.9419157554423292,0.00010149324715869947,256,0.03268215741468983,2.9053537845611572
0.9390514798314894,0.0001540825476048098,256,0.06070469569119955,2.7182908058166504
